,x
2192,0
2193,-0.25
2194,0
2195,-0.4
2196,0
2197,0
2198,0.75
2199,0
2200,0
2201,0
2202,0.7
2203,-0.75
2204,0
2205,0
2206,0
2207,-0.75
2208,0
2209,-2.85
2210,0
2211,0
2212,0
2213,0.5
2214,0
2215,0
2216,0
2217,0
2218,-0.5
2219,0
2220,0
2221,0.6
2222,0
2223,-0.25
2224,0
2225,0
2226,0
2227,0
2228,0
2229,0
2230,0
2231,0
2232,0
2233,-0.5
2234,-1.5
2235,0
2236,0
2237,-0.65
2238,0
2239,0.8
2240,0
2241,0
2242,0
2243,0.35
2244,0
2245,0
2246,0
2247,-0.5
2248,-0.35
2249,0
2250,0
2251,-0.85
2252,0
2253,0
2254,0
2255,0
2256,0
2257,0
2258,0
2259,-0.35
2260,0
2261,0
2262,0
2263,0
2264,0
2265,-0.05
2266,0
2267,0
2268,0
2269,0
2270,0
2271,0
2272,0
2273,0
2274,0
2275,0
2276,0
2277,0
2278,0
2279,0
2280,0
2281,0
2282,0
2283,0
2284,0
2285,-0.5
2286,0
2287,-0.4
2288,0
2289,-0.25
2290,0
2291,0
2292,0.4
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,-0.25
2308,-0.5
2309,0
2310,0.25
2311,0
2312,0
2313,-0.25
2314,0
2315,0
2316,0
2317,-0.25
2318,0
2319,0
2320,0
2321,0.15
2322,0
2323,0
2324,0
2325,0
2326,0
2327,-0.8
2328,0
2329,0
2330,-0.85
2331,0
2332,0
2333,0
2334,1.3
2335,0
2336,0.55
2337,0
2338,0
2339,0
2340,0
2341,0
2342,0
2343,0
2344,0
2345,0
2346,0
2347,0
2348,0
2349,0
2350,0
2351,-0.75
2352,0
2353,0
2354,0
2355,0
2356,-0.75
2357,0
2358,0
2359,-0.25
2360,-0.75
2361,0
2362,-1
2363,0.25
2364,-0.1
2365,-0.75
2366,0
2367,1.05
2368,0
2369,0
2370,0
2371,0
2372,0
2373,0
2374,0
2375,0
2376,-1.75
2377,0
2378,0
2379,0
2380,0
2381,0
2382,-1
2383,0
2384,0
2385,0
2386,0
2387,0
2388,0.8
2389,0
2390,1.25
2391,-1.75
2392,0
2393,0
2394,0
2395,-0.85
2396,0
2397,-0.25
2398,-0.75
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2413,0
2414,0
2415,0
2416,0
2417,0
2418,0
2419,0
2420,0
2421,0
2422,0
2423,0
2424,-0.25
2425,0
2426,0
2427,-1
2428,0
2429,-1.25
2430,1.55
2431,-0.35
2432,0
2433,-0.25
2434,0
2435,0
2436,0
2437,0
2438,-1.1
2439,0
2440,0
2441,0
2442,0
2443,0
2444,0
2445,-0.5
2446,0
2447,0
2448,0
2449,0
2450,0
2451,1.05
2452,0
2453,-0.75
2454,1.05
2455,0.6
2456,0
2457,0
2458,0
2459,0
2460,0
2461,0.5
2462,-0.75
2463,0
2464,0
2465,0
2466,0
2467,0
2468,0
2469,0
2470,0
2471,0
2472,0
2473,0
2474,-0.85
2475,0.6
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,0
2486,0
2487,0
2488,0
2489,0
2490,0
2491,1.75
2492,-0.75
2493,0
2494,-1.15
2495,0
2496,0
2497,0
2498,0
2499,1
2500,0
2501,1
2502,-0.6
2503,0
2504,0
2505,0
2506,0
2507,0
2508,-0.6
2509,0
2510,0
2511,0
2512,0
2513,0
2514,1.2
2515,0
2516,0
2517,0
2518,0
2519,-1.15
2520,0
2521,0
2522,0
2523,0
2524,0
2525,0.6
2526,0
2527,0
2528,0
2529,-0.25
2530,0
2531,0
2532,0
2533,0
2534,-0.5
2535,0
2536,-1.15
2537,0
2538,-1.15
2539,0
2540,0
2541,-0.5
2542,-1.85
2543,0
2544,0
2545,-1.15
2546,0
2547,-0.5
2548,0
2549,0
2550,0
2551,0
2552,0.5
2553,0
2554,0
2555,0
2556,0
2557,0
2558,0
2559,-0.8
2560,0
2561,-1.5
2562,0.6
2563,0
2564,0
2565,0
2566,0
2567,-0.25
2568,0
2569,-0.5
2570,0
2571,0
2572,0
2573,0
2574,-0.75
2575,0
2576,-1
2577,0
2578,0.5
2579,0
2580,3.3
2581,0
2582,0
2583,-0.75
2584,0
2585,0
2586,0
2587,-1.15
2588,-2
2589,0
2590,0.5
2591,0.65
2592,0
2593,0
2594,0
2595,0
2596,-0.1
2597,0
2598,0
2599,0
2600,0
2601,-0.6
2602,0
2603,0
2604,0
2605,0
2606,0
2607,0
2608,-0.5
2609,0
2610,0
2611,0
2612,0
2613,0
2614,0
2615,0
2616,-0.1
2617,-0.6
2618,-0.5
2619,-0.6
2620,0
2621,0.75
2622,0
2623,0
2624,0
2625,0
2626,0
2627,0
2628,0
2629,0
2630,0
2631,0
2632,0.5
2633,0
2634,0
2635,-1
2636,0
2637,-0.25
2638,0
2639,1.1
